24920 1537.28 32.2362 30 30 93.063 0 0.0209696 1356.43 30720 1024 30 4
50414 1656.61 64.5122 60 60 93.0056 0 0.0389422 1341.81 61440 1024 30 4
75574 1656.91 96.7628 90 90 93.0109 0 0.0583997 1342.57 92160 1024 30 4
99682 52.0559 129.067 120 120 92.9747 0 2.4794 1357.69 122880 1024 30 4
123582 56.4435 161.281 150 150 93.0055 0 2.85739 1368.45 153600 1024 30 4
